"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa05410","hsa05410","Hypertrophic cardiomyopathy",0.0196637218580792,"99/8847",1.17207376272986e-09,7.43841163487864,2.46752371101022e-08,"3672/3673/3674/3676/3655/3679/3680/3685/3690/3696/284217/3908/4625/4634/4842/5562/5563/5571/6262/6444/137868/6546/6543/6547/7042/7137/7273/1636/487/488/489/775/776/778/781/55799/93589/783/785/10369/10368/27092/27091/59285/59284/59283/859/1756/1837/3675/3688/60/71/1674/8516/3694/4000/7139/3479/4607/51422/6442/8910/779/9254/1605/7170/70/6443",69
"hsa04725","hsa04725","Cholinergic synapse",0.0219435736677116,"115/8847",2.43164502827662e-09,7.1592549631048,4.69264830018295e-08,"2770/2775/2791/51764/54331/2792/3708/3709/3710/3760/3763/3784/3785/3786/9132/56479/3845/5604/5290/5291/5294/5295/8503/23533/23236/5332/5566/5578/5579/5582/60482/43/108/109/196883/111/113/114/115/208/596/773/775/776/778/816/814/1103/1136/1137/8973/1139/1141/1143/64764/9586/774/817/5293/112/1129/2784/3717/146850/5330/107/2786/5567/3265/3759/779/815/818/89832/84699/2534/59345",77
"hsa04310","hsa04310","Wnt signaling pathway",0.030493017953833,"174/8847",3.59261034772019e-09,7.02450712980074,6.399791712538e-08,"2239/2932/51176/55366/8549/59352/4040/6885/5602/4163/4609/4775/85409/23236/5332/5467/5530/144165/166336/4007/5566/5578/5579/5582/54894/4919/4920/284654/343637/6422/6423/4088/4089/50964/6934/7091/7157/81839/57216/7471/80326/7481/51384/89780/7476/7478/7479/7483/7484/84133/324/147495/164284/25805/8945/816/9350/1387/1488/1499/1501/27123/1857/2487/817/57680/6932/8454/1856/5330/387/6424/6907/79718/7089/7480/81029/23002/5567/340419/122011/27130/4041/5599/85407/51701/5663/9475/7090/11197/7473/10297/8312/8313/815/818/440193/22943/2033/23291/8607/896/23500/4773/147111/79816/7088",107
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.0216585921915076,"115/8847",7.54543010496414e-09,6.73441792913028,1.24811625796399e-07,"10672/2770/2778/3708/3709/3710/9365/4040/5604/4325/5141/5142/5143/5144/23236/5332/5337/5566/5578/5579/5582/5741/5894/860/6446/6569/50964/6667/56302/65125/65267/65266/108/109/196883/111/113/114/115/9138/9826/596/673/846/64764/9586/1956/1958/8074/9247/11214/1388/4326/5744/65268/112/4666/4929/9943/5330/5745/387/6257/6258/6559/107/5567/4041/4209/4324/84699/2260/2625/4208/369/4205",76
"hsa04024","hsa04024","cAMP signaling pathway",0.0373325733827301,"226/8847",1.40429032186565e-08,6.49460825022716,2.16802716358205e-07,"2770/2778/2890/2891/2892/2893/2902/2903/2904/116443/10021/3360/3362/3776/3973/5604/5602/4790/5021/10846/5139/5140/5141/5142/5143/5144/5290/5291/5295/8503/51196/5337/64208/4659/5566/5727/5732/5733/5894/11069/6093/6262/7074/7137/7253/7409/7410/10451/10257/108/109/196883/111/113/114/115/117/134/135/208/476/480/487/488/489/491/492/673/775/776/778/801/816/814/1259/1260/1261/1262/54714/64764/9586/1387/1813/1908/2149/2488/2492/2693/2737/2740/51/490/493/817/1394/5293/55811/112/116/1129/2550/2735/4886/64091/5465/387/6752/6755/107/477/5567/3354/5599/5443/5499/9475/6548/7432/11149/779/815/818/84699/1395/2033/9568/1081/2641/10411/1080/64399",131
"hsa04512","hsa04512","ECM-receptor interaction",0.0173838700484468,"89/8847",2.93339917778137e-08,6.20272271068309,4.24570933626251e-07,"3339/3381/3672/3673/3674/3676/3655/3679/3680/3685/3690/3696/284217/3908/3909/3910/3911/3914/3915/3918/56955/255743/5649/6382/9899/22987/7060/63923/7143/7148/7448/375790/960/1278/1282/1284/1285/1287/1288/1293/256076/131873/1758/1834/80144/158326/341640/948/1292/1297/3675/3688/22798/3371/8516/3694/3912/9900/1286/1605/2335",61
"hsa04015","hsa04015","Rap1 signaling pathway",0.0350527215730978,"212/8847",3.609427095629e-08,6.13898454110401,4.91686663181659e-07,"2770/2775/2778/2902/2903/2904/3480/3643/3674/3684/3690/3791/4254/3845/23566/9223/9863/260425/5604/5606/5608/4233/4804/80310/5156/5290/5291/5295/8503/23236/5332/51196/5335/5578/5579/5582/5590/5587/5894/5900/5909/9693/11069/51735/10235/25780/10636/26037/57568/8631/7010/7074/7409/7410/10451/7424/108/109/196883/111/113/114/115/135/208/284/51378/54518/673/801/1499/9732/1813/1956/55740/1969/2149/2255/8817/8074/2264/2324/1500/3688/56288/5293/23683/23094/83660/60/71/112/1436/2252/1902/5159/5330/5898/387/107/2321/3082/2846/3265/3479/3815/3937/9170/5028/56034/5584/2889/9771/9564/999/1946/2250/2251/2260/2263/3689/10411/7094",123
"hsa04976","hsa04976","Bile secretion",0.0173838700484468,"90/8847",5.5994933963352e-08,5.9730976622425,7.20402659177628e-07,"2778/3781/5566/6344/6555/9376/10998/57835/6550/10599/28234/54658/54575/54659/54657/54579/54578/54577/54600/10941/79799/7365/10720/7366/7367/54490/7363/7364/5243/8647/8714/10257/64240/64241/108/109/196883/111/113/114/115/358/476/480/570/9429/112/9971/6579/107/477/5567/57552/8671/200931/6548/366/1581/5244/361/1080",61
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes",0.0265032772869763,"154/8847",1.30511566988395e-07,5.65135488554569,1.51118656512879e-06,"2770/2778/3776/3784/4625/4634/5294/23533/23236/5332/64208/5518/5520/5521/5522/28227/5528/5566/5578/11069/9252/6262/6331/6332/6546/6543/6547/7137/108/109/196883/111/113/114/115/148/147/146/208/476/480/487/488/489/491/492/596/775/776/778/781/55799/93589/783/785/10369/10368/27092/27091/59285/59284/59283/801/816/64764/9586/1388/490/493/817/112/146850/5330/64091/5526/7139/107/477/5567/5499/5523/6324/6548/11149/779/9254/815/818/84699/7170/70/10411/185",93
"hsa04921","hsa04921","Oxytocin signaling pathway",0.0265032772869763,"154/8847",1.30511566988395e-07,5.65135488554569,1.51118656512879e-06,"2770/2775/2778/2977/3708/3709/3710/3760/3762/3763/3845/5604/5607/4638/340156/4775/5021/5294/23533/5321/23236/5332/4659/5530/5562/5563/5566/5571/5578/5579/5582/5743/5894/6093/6261/6262/6263/7226/108/109/196883/111/113/114/115/775/776/778/781/55799/93589/783/785/10369/10368/27092/27091/59285/59284/59283/801/57118/816/814/1938/29904/1956/817/4846/4660/60/71/112/146850/5330/387/107/5567/3265/3759/8605/5499/51422/1827/9475/779/9254/57172/815/818/4208/85366/4773",93
