"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04512","hsa04512","ECM-receptor interaction",0.0166204986149584,"89/8843",1.73052570067526e-08,6.29248957582909,3.30561092076895e-07,"375790/1278/1282/1284/1285/1287/1288/1292/1293/256076/131873/1297/1298/1299/1605/1758/1834/80144/341640/51206/3339/3381/3672/22801/3673/3674/3676/3678/3655/3679/3680/3685/3690/3696/284217/3908/3909/3910/3911/3912/3914/3915/3918/56955/255743/5649/6382/6696/9900/22987/7057/7060/3371/7143/7148/7448/948/3688/22798/8515/3695/9899/63923/3675/158326/2335",66
"hsa04022","hsa04022","cGMP-PKG signaling pathway",0.0277008310249307,"166/8843",1.794474499846e-08,6.29248957582909,3.30561092076895e-07,"107/108/109/111/112/114/115/134/140/148/147/146/155/207/208/1388/476/477/480/481/23439/487/488/490/491/493/624/775/776/1259/1258/1385/90993/64764/148327/9586/1909/1910/2626/2768/10672/2770/2771/2773/2776/2977/3643/8660/3708/3709/3710/3764/3778/3779/157855/3827/5604/5605/4208/4638/340156/4772/4773/4985/5138/5139/5140/5294/23533/146850/23236/5331/5499/4659/5532/5592/5997/387/6093/9475/83447/293/6546/6543/6547/7225/7408/482/489/4775/4776/4846/4882/5581/113/492/10242/4205/100271849/85366/4878/5332/5894/292/150/153/185/801/7417/91807",110
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.0214051876101738,"122/8843",2.31095081650895e-08,6.21739827073703,3.92955199568323e-07,"207/208/476/477/480/481/23439/487/488/1387/1499/2033/2099/2308/2626/2932/3065/3685/3690/3845/5604/5605/4193/5469/116931/23389/9282/9862/9442/2475/4609/10499/8202/9611/4851/4853/4893/5211/5290/5291/5295/5296/8503/23236/5331/5333/84812/51196/5335/5336/89869/5567/5578/5579/1827/6256/117247/6513/6548/53919/6772/9882/7067/7068/7157/54361/482/489/9969/5293/60/71/3066/8648/4854/5332/5894/6258/25942/8850/29079/10231/5214/1734/6567",85
"hsa05205","hsa05205","Proteoglycans in cancer",0.0327373457567363,"204/8843",3.50263296769678e-08,6.0689790256356,5.53047310688966e-07,"207/208/286/287/288/9138/23365/673/816/817/858/859/867/998/1278/1499/1655/1956/1975/2064/2066/2099/7430/355/2247/2260/2535/8323/2549/3059/3236/10855/60495/3339/3479/3480/3481/3549/3673/3678/3685/3690/3708/3709/3710/3845/4060/5604/5605/6300/4193/4478/2475/4609/79923/4893/5290/5291/5295/5296/8503/51196/5335/5336/5499/4659/4660/54776/5567/5578/5579/5727/5829/5962/387/6093/9475/6198/6382/6383/6469/6548/4087/6608/6654/7040/7042/7057/7074/7078/7099/7157/7409/7410/7448/7471/51384/7472/7482/7473/54361/7474/7476/7479/7483/7484/818/857/2017/2065/2316/2885/3688/4313/5058/5293/5781/10451/60/71/1514/2002/3791/5600/5894/7422/7481/5747/2817/2335",130
"hsa04310","hsa04310","Wnt signaling pathway",0.0282044824981113,"174/8843",1.42896488990897e-07,5.48831532188531,2.10584299565532e-06,"324/10297/164284/8312/8313/25805/8945/816/817/57805/440193/9350/57680/1387/1454/1459/1488/1499/1501/8454/23002/27123/27121/1856/1857/2033/23291/2487/2535/8323/2239/2932/27130/51176/55366/8549/59352/4041/4040/84445/5602/4163/4609/4772/4773/85407/85409/23236/5331/64840/5467/5532/144165/166336/5567/5578/5579/387/54894/9475/4919/4920/284654/340419/343637/6259/6422/6423/6424/6477/4088/4089/79718/6932/83439/6934/7089/7090/7091/7157/57216/7471/51384/7472/7482/7473/54361/7474/7476/7479/7483/7484/84133/818/122011/6885/4775/4776/8607/11197/1457/23500/1855/5599/5332/6907/7088/81839/7481/147495/1452/1487",112
"hsa04928","hsa04928","Parathyroid hormone synthesis, secretion and action",0.0198942331906321,"115/8843",1.87692440621144e-07,5.39791882205239,2.5931192454237e-06,"107/108/109/111/112/114/115/11214/9138/9826/1388/673/846/1385/90993/64764/148327/9586/1591/1594/1956/8074/2260/2625/8521/2768/10672/2770/2771/2773/2776/2778/3708/3709/3710/9365/4041/4040/5604/4208/4322/4324/4325/4326/4666/4929/5141/5142/5143/23236/5331/5567/5578/5579/5744/387/860/6256/6446/6569/10568/6667/8600/56302/65125/65268/65267/65266/596/5745/113/4205/4323/10893/5332/5894/6258/6559/5144",79
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells",0.0239234449760766,"144/8843",2.30760820259522e-07,5.3345324683592,3.00060509315787e-06,"91/130399/92/93/207/208/324/10297/8312/8313/658/659/1499/1856/1857/2103/80712/2247/2260/2261/2535/8323/2932/9421/8820/3198/3479/3480/3624/3626/3670/3716/3717/3720/7994/3845/5604/5605/6300/4211/4609/4617/79923/4893/3175/5013/5080/10336/5290/5291/5295/5296/8503/5460/5978/55183/6498/4086/4087/4088/4089/4093/56916/6926/6929/6932/7471/51384/7472/7482/7473/54361/7474/7476/7479/7483/7484/463/7547/2885/7703/5293/90/657/1855/3572/64211/3977/5600/84333/5894/7481/3397/6657/2263",95
"hsa04820","hsa04820","Cytoskeleton in muscle cells",0.0357592545958197,"232/8843",3.16069022674516e-07,5.22273619256406,3.88154940126599e-06,"70/88/375790/270/271/272/287/288/26287/476/477/480/481/23439/829/832/1301/1278/85301/1282/1284/1285/1287/1288/1289/1290/1292/1293/256076/131873/1297/1298/1299/23002/1605/1674/1730/1756/1829/1832/2192/2199/2200/2201/2318/56776/114793/91010/3339/3672/22801/3673/3674/3676/3678/3655/3679/3680/3685/3690/3696/3728/284217/3908/11155/4000/4001/25802/442721/56203/4604/4608/4619/4628/4629/8735/79784/4620/4621/4627/9499/84665/4703/10529/22795/84033/27295/8572/10611/5339/6382/6383/9672/6443/6444/6640/6641/6645/6711/6712/23353/23345/23224/161176/171024/7057/7060/7139/7168/7169/7170/57159/84675/7273/1462/7414/129446/482/1837/64423/3688/4635/127294/57731/25777/83660/7137/60/71/633/1465/23500/1824/2027/84467/8515/3695/6709/7171/3675/22989/2335",142
"hsa04921","hsa04921","Oxytocin signaling pathway",0.025182573659028,"154/8843",3.56215441585436e-07,5.1942864801908,4.14433477744829e-06,"107/108/109/111/112/114/115/775/776/781/9254/55799/93589/783/784/785/786/10369/10368/27092/59284/8536/57118/816/817/814/10645/29904/1956/2770/2771/2773/2775/2776/2778/2977/3708/3709/3710/8681/3760/3762/3763/3765/3845/5604/5605/5607/4208/4638/340156/4772/4773/4893/5294/23533/146850/5321/123745/255189/23236/5331/5499/4659/4660/54776/5532/5562/5563/5567/5571/5578/5579/1827/5997/387/6093/9475/6261/6262/6263/818/4775/4776/4846/4882/60/71/113/782/27091/2002/85366/4878/5332/5894/801/51422/8605/91807",100
"hsa04010","hsa04010","MAPK signaling pathway",0.0445731553764795,"300/8843",4.31143362359073e-07,5.13365391233716,4.76526874186344e-06,"207/208/284/285/51378/627/673/773/774/775/776/777/8912/8911/781/9254/55799/93589/783/784/785/786/10369/10368/27092/59284/994/998/11221/80824/1846/1847/1945/1950/1956/2005/1969/2064/2066/355/2246/2255/8823/2247/26281/8074/2248/2250/2254/2260/2261/2324/2768/55970/3479/3480/3481/3551/3643/8681/3815/4254/3845/5604/5605/6416/5607/5608/5609/4214/4294/4296/7786/9175/4215/4216/4293/8491/9448/5602/6300/9479/23162/9261/7867/4149/2122/4208/4609/4763/4772/4790/4804/4893/4908/4914/4915/56034/80310/5156/5321/123745/255189/5494/5495/5532/5536/5567/5578/5579/84867/5801/9693/5921/5922/5924/10125/10235/5970/5979/6195/6196/8986/27330/6654/6789/23118/51347/7010/7040/7042/7046/7048/7132/7157/7189/7424/2065/2316/2321/2885/4217/6885/4775/5058/5923/9344/8913/782/27091/1436/1616/1845/51295/2002/2252/2322/2668/3312/3554/3556/3791/10746/5600/5599/4137/2872/5062/5159/5894/25780/6197/57551/7422/2263/1946/8605",177
"hsa04390","hsa04390","Hippo signaling pathway",0.0254343993956182,"157/8843",6.07299082437188e-07,5.00606229079005,6.39262192039146e-06,"84962/154796/324/10297/8312/8313/329/330/650/653/655/353500/658/659/8945/999/23418/286204/1453/1454/1495/1496/1499/1739/1740/1741/1742/9231/1856/1857/23291/2246/2535/8323/8200/392255/151449/2736/2932/9113/26524/51176/8994/3993/4609/85407/85409/56288/84552/5499/5518/5520/5521/5522/5584/5590/23513/4086/4087/4088/4089/6932/83439/6934/7003/8463/7040/7042/7046/7048/7159/7161/7471/51384/7472/7482/7473/54361/7474/7476/7479/7483/7484/126374/23286/7534/332/29119/122786/60/71/657/1855/3689/4771/55844/7005/7481/3397/166824/6657",101
"hsa04971","hsa04971","Gastric acid secretion",0.0138504155124654,"76/8843",1.03122921584063e-06,4.796313093277,1.03616332692121e-05,"107/108/109/111/112/114/115/476/477/480/481/23439/816/817/887/1080/7430/2770/2771/2773/2776/2778/3274/3708/3709/3710/3758/3766/3773/54207/3784/4638/340156/23236/5331/5567/5578/5579/115111/6548/389015/6750/482/818/60/71/113/760/3776/85366/5332/6752/801/3772/91807",55
"hsa04024","hsa04024","cAMP signaling pathway",0.0345001259128683,"226/8843",1.10943715881531e-06,4.7838707492427,1.06627827620694e-05,"107/108/109/111/112/114/115/134/135/207/208/476/477/480/481/23439/487/488/490/491/493/627/673/775/776/816/817/814/1080/1259/1260/1261/1262/1258/54714/1385/90993/64764/148327/9586/1387/1395/1813/1908/1909/2033/2149/2492/5348/2550/9568/51738/2693/2737/2770/2771/2773/2778/2890/2891/2893/2902/2903/2904/116443/610/10021/64399/3354/3362/3973/3991/5604/5605/5602/4772/4790/84876/10846/5139/5140/5141/5142/5143/5290/5291/5295/5296/8503/51196/64091/5499/4659/5567/5727/5732/5733/10411/11069/5970/387/6093/9475/6262/6548/6662/6750/7074/7253/7409/7410/51/482/489/818/2892/5058/5293/7137/10451/113/492/2735/3360/3776/5599/4878/4886/5465/5894/6752/153/801/1129/338442/5144/7434",137
"hsa00562","hsa00562","Inositol phosphate metabolism",0.0133467640392848,"73/8843",1.37351006356905e-06,4.70962501691921,1.26507505855044e-05,"4329/3628/22876/27124/51763/3636/3706/3707/9562/4534/8776/8898/9107/55613/55361/55300/5297/5298/5288/5290/5291/5294/200576/5305/8396/8394/8395/23396/23236/5331/5333/84812/51196/5335/5336/23007/9651/89869/5728/8867/8871/8821/3632/51477/5287/5293/9896/3631/8897/5286/5332/3633/3612",53
"hsa05226","hsa05226","Gastric cancer",0.0241752707126668,"150/8843",1.61914121718991e-06,4.65590090126481,1.43166170783108e-05,"5243/207/208/324/10297/8312/8313/673/999/1015/1027/1045/1495/1496/1499/1856/1857/1871/1950/1956/2064/2246/2255/8823/2247/26281/8074/2248/2250/2254/2535/8323/2549/2932/3728/3845/51176/4041/4040/5604/5605/4292/2475/4583/4609/4893/5290/5291/5295/5296/8503/51426/5915/5925/6198/6256/399694/6469/4087/4088/4089/6654/6932/83439/6934/7040/7042/7046/7048/7157/7471/51384/7472/7482/7473/54361/7474/7476/7479/7483/7484/596/122011/29119/2885/5293/25759/581/1855/2252/5894/6258/7481/1452/83998/2263",96
"hsa04611","hsa04611","Platelet activation",0.0206497104004029,"125/8843",2.16840248359112e-06,4.54607907294802,1.84358105892363e-05,"107/108/109/111/112/114/115/207/208/2909/9138/23365/1278/2147/2149/2266/2534/10672/2770/2771/2773/2776/2778/51206/2977/3673/3674/3690/3708/3709/3710/8681/3937/4067/6300/4638/340156/84876/5290/5291/5294/5295/5296/8503/23533/146850/5321/123745/255189/23236/5331/5336/5499/4659/5567/5584/5590/5592/5742/10125/10235/387/6093/9475/6786/6915/6916/7408/3688/4846/5293/83660/60/71/113/695/2243/5600/85366/5332/8605/91807",82
"hsa04925","hsa04925","Aldosterone synthesis and secretion",0.0166204986149584,"98/8843",5.54543339349938e-06,4.16367935054384,4.4469470663124e-05,"107/108/109/111/112/114/115/183/1388/476/477/480/481/23439/490/491/493/775/776/8912/8911/8536/57118/816/817/814/1385/90993/64764/148327/9586/1585/2776/2778/3283/3708/3709/3710/3762/3777/51305/3991/4929/84876/5138/23236/5331/5567/5578/5579/5587/23683/482/818/5581/113/492/8913/1583/747/4878/5332/185/466/801/221955",66
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption",0.0100730294636112,"53/8843",5.63279961732904e-06,4.16367935054384,4.4469470663124e-05,"112/115/160/161/476/477/480/481/23439/490/491/493/624/1211/1213/8218/1759/1785/2099/2776/2778/9365/3816/23236/5331/5567/5578/5579/6546/6543/6547/56302/1173/482/5745/492/26052/3817/5332/793",40
"hsa05032","hsa05032","Morphine addiction",0.0156131956685973,"91/8843",5.93987448503424e-06,4.15586635086684,4.52767202126022e-05,"107/108/109/111/112/114/115/134/773/774/2550/9568/2555/2557/2558/2559/2560/2561/2562/2564/2565/2566/2567/55879/2570/2770/2771/2773/2775/2778/10681/55970/2869/3760/3762/3763/3765/4988/10846/50940/5136/5153/5137/5138/5139/5140/5141/5142/5143/5150/27115/5151/8622/5567/5578/5579/140679/59345/113/2782/2870/5144",62
"hsa04935","hsa04935","Growth hormone synthesis, secretion and action",0.0198942331906321,"122/8843",6.97776275781521e-06,4.10065067626759,5.14150940049542e-05,"107/108/109/111/112/114/115/207/208/1388/9564/775/776/1385/90993/64764/148327/9586/1387/1444/2033/2688/2690/51738/2693/2770/2771/2773/2776/2778/2932/3479/3483/3486/8660/3708/3709/3710/3717/3845/5604/5605/6416/5608/4214/5602/6300/112609/2475/4893/5290/5291/5295/5296/8503/23236/5331/5335/5336/5567/5578/5579/399694/8835/6654/6750/6772/6777/2885/5293/25759/113/5600/5599/5332/5449/5894/6752/5747",79
"hsa05224","hsa05224","Breast cancer",0.0231679677663057,"148/8843",1.55229227386654e-05,3.76763381893965,0.000110689771650925,"207/208/324/10297/8312/8313/673/672/675/1499/10683/1856/1857/1871/1950/1956/2064/2099/2100/2246/2255/8823/2247/26281/8074/2248/2250/2254/2260/2324/2535/8323/2932/23493/3479/3480/182/3714/3815/3845/51176/4041/4040/5604/5605/2475/4609/8202/4851/4853/4893/5241/5290/5291/5295/5296/8503/51426/5728/5925/6198/399694/6654/6667/6932/83439/6934/8600/7157/7471/51384/7472/7482/7473/54361/7474/7476/7479/7483/7484/122011/2885/5293/25759/581/1855/2252/8648/4854/5894/7481/1452",92
"hsa05165","hsa05165","Human papillomavirus infection",0.0470914127423823,"333/8843",1.74817965260542e-05,3.72980953823379,0.000120762410212874,"207/208/324/10297/472/50617/9114/155066/525/245973/545/8312/8313/841/8900/998/1027/1108/1278/1282/1284/1285/1287/1288/1292/1293/256076/131873/1297/1298/1299/1385/90993/64764/148327/9586/1387/1499/1739/1740/1741/1856/1857/1950/1956/2033/8772/355/2308/2535/8323/2778/2932/3065/23493/3106/3381/3551/9641/3659/3672/22801/3673/3674/3676/3678/3655/3679/3680/3685/3690/3696/182/3716/3845/284217/3908/3909/3910/3911/3912/3914/3915/3918/3955/3993/9223/9794/84441/55534/5604/5605/4193/2475/4790/4851/4853/4893/56288/84552/5290/5291/5295/5296/8503/5518/5520/5521/5522/5523/28227/5525/5528/5529/5567/5584/5590/5728/5734/5829/5925/5933/3516/5970/5649/6198/23513/6654/6696/6772/10474/6932/83439/6934/7057/7060/7098/3371/7132/7143/7148/7157/7337/7448/7471/51384/7472/7482/7473/54361/7474/7476/7479/7483/7484/122011/5610/2885/3688/22798/5293/5934/245972/581/1855/3066/3105/3134/8515/3695/4599/4854/5159/5315/55844/5526/5894/63923/7187/7422/7481/1452/3675/5747/7248/5527/2335",187
