"","ID","Description","GeneRatio","BgRatio","pvalue","neg_log10_FDR","qvalue","geneID","Count"
"hsa04540","hsa04540","Gap junction",0.0172817809021675,"92/8843",5.71409571109722e-07,4.7529662575762,1.21390358647233e-05,"108/109/111/114/115/1453/1813/1956/2697/57369/2771/2778/2885/2911/2915/3356/3357/3358/3708/3709/3710/3845/1902/5594/5595/56034/80310/5156/23236/5330/5332/5567/5578/5579/5582/5592/7082/7278/112714/7277/51807/79861/81027/7280/347733/10381/10382/84617/112/5604/113/1950/2773/10746/5598/5159/5894/6654/113457",59
"hsa04072","hsa04072","Phospholipase D signaling pathway",0.0254833040421793,"149/8843",6.57191926764942e-07,4.73001010927426,1.27979480475278e-05,"108/109/111/114/115/56895/183/551/552/553/9267/9265/1606/1607/8527/8526/160851/9162/8525/1785/1956/2149/9846/10672/2778/2885/2911/2912/2913/2914/2915/2917/2918/3643/8681/3845/1902/9170/5594/5595/2475/56034/80310/5156/5290/5294/5295/8503/23533/23396/23236/5330/5332/5335/5336/5337/5578/5737/2185/5781/5899/5900/11069/387/22800/53358/399694/56848/112/5604/5293/113/56894/375/1950/2147/2534/2916/5159/5291/5296/8394/5894/6654/6850/185/2846",87
"hsa04310","hsa04310","Wnt signaling pathway",0.028705330990041,"174/8843",1.33491654790596e-06,4.45701031856532,2.3996070739686e-05,"324/147495/164284/8312/8313/25805/8945/57805/440193/57680/1387/1459/1488/1499/1501/8454/80319/23002/23500/22943/27123/1855/1857/2033/23291/8321/2535/7976/8322/8323/2239/27130/51176/55366/8549/59352/4041/4040/84445/4163/4773/85407/51701/23236/5330/5332/5467/5530/144165/166336/5567/5578/5579/5582/387/54894/9475/4919/4920/340419/6422/6423/6424/4088/4089/6907/79718/6932/83439/6934/7088/7089/7090/7091/79816/7157/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/84133/1454/4776/5532/1457/5602/5599/4772/29964/8607/57216/6885",98
"hsa04390","hsa04390","Hippo signaling pathway",0.0260691271236087,"157/8843",2.80849687157429e-06,4.2060928233919,4.2761962539422e-05,"324/8312/8313/329/330/650/653/654/655/656/657/659/8945/999/23418/286204/1453/1495/1496/29119/1499/1739/1740/1741/1742/9231/1855/1857/23291/8321/2535/7976/8322/8323/8200/392255/151449/2736/9113/26524/51176/8994/85407/56288/84612/5515/5518/5520/5522/5584/23513/4088/4089/4092/6932/83439/6934/7003/8463/7005/7004/7042/7046/7048/7159/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/23286/7531/7534/84962/652/1454/122786/6591/60/658/3689/4087/7161/5521",89
"hsa04024","hsa04024","cAMP signaling pathway",0.0354422964264792,"226/8843",2.86462722369092e-06,4.2060928233919,4.2761962539422e-05,"51/8310/55811/108/109/111/114/115/134/476/477/480/487/488/491/492/572/627/673/775/776/805/814/1080/1128/1259/1260/1262/10488/9586/1387/1394/1395/1813/1908/2033/2149/2492/2550/2693/2737/2771/2778/2890/2891/2892/2893/2902/2903/2904/2905/2906/116443/116444/610/10021/64399/3355/3360/3362/3776/3973/3991/5594/5595/4790/5021/10846/5139/5140/5142/5290/5295/8503/51196/5337/5443/64208/4659/5567/5727/5732/5733/11069/387/6093/9475/22800/6262/6548/6755/7074/7253/7409/7410/7434/112/490/493/54714/5604/5293/10257/113/1261/1258/2641/2735/2773/5602/5599/4772/4886/5143/5291/5296/5465/5894/6662/6752/4792",121
"hsa04934","hsa04934","Cushing syndrome",0.025776215582894,"155/8843",2.92784608378025e-06,4.2060928233919,4.2761962539422e-05,"108/109/111/114/115/183/196/324/405/8312/8313/673/775/776/8912/8911/1026/1029/10488/9586/1394/1395/1499/1589/1855/1857/1870/1871/1956/8321/2535/7976/8322/8323/2771/2778/3283/3708/3709/3710/3739/3776/3777/4297/3949/51176/5594/5595/56246/57552/3164/2516/5087/5151/8622/23236/5330/5332/5443/5567/5925/5929/949/6667/6932/83439/6934/11091/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/112/1388/8913/1584/8085/5604/113/2773/50940/185",88
"hsa04810","hsa04810","Regulation of actin cytoskeleton",0.0357352079671939,"230/8843",4.81594759476202e-06,4.01628825188141,6.62006418598865e-05,"87/81/324/2909/9138/23365/50649/9459/8874/10458/9564/623/624/673/731/1128/23191/1956/55740/7430/2149/2245/89846/2255/2247/27006/2251/2252/2254/2260/2263/28964/10672/55970/8826/10788/22801/3673/3655/3679/3680/3682/3684/3685/3687/3690/3691/3696/3845/3985/1902/9170/5594/5595/4478/4628/4629/4627/103910/4638/340156/10298/56034/80310/5156/5217/5290/5295/8503/5305/8396/23396/4659/4660/54776/5747/5829/5962/387/6093/9475/22800/85477/6548/54434/85464/7074/7409/7410/7414/8976/26999/2264/2934/3678/3688/5604/5062/5293/10152/60/729/81624/1950/2147/8822/3683/3689/56924/5159/5291/5296/8394/5894/6654/221178/54961/8936/10163/727/3675/2846",122
"hsa04927","hsa04927","Cortisol synthesis and secretion",0.0125951962507323,"65/8843",5.95599961210769e-06,3.94883892726491,7.7323503736135e-05,"108/109/111/114/115/183/775/776/8912/8911/10488/9586/1589/2778/3283/3708/3709/3710/3739/3776/3777/3949/56246/57552/190/3164/2516/5087/5151/8622/23236/5330/5332/5443/5567/949/6667/112/1388/8913/1584/113/185",43
"hsa04919","hsa04919","Thyroid hormone signaling pathway",0.020796719390744,"122/8843",8.10872190218814e-06,3.83832227785847,9.9730540846857e-05,"476/477/480/487/488/572/1387/1499/1734/2033/2308/2626/3065/3091/3685/3690/3845/5594/5595/5469/116931/9969/23389/9862/2475/4624/8648/10499/8202/9611/4851/4853/4855/5211/5214/5290/5295/8503/23236/5330/5332/5333/113026/51196/5335/5336/5567/5578/5579/5582/6256/117247/6567/6513/6548/9882/7157/54361/652/5604/5293/60/3066/5291/5296/5894/25942/7067/7068/8850/10231",71
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells",0.023725834797891,"144/8843",1.158390945732e-05,3.70569592430767,0.000135348836817107,"91/130399/92/93/324/8312/8313/657/659/1499/1749/1852/1855/1857/2103/2247/2260/2263/8321/2535/7976/8322/8323/2885/9421/8820/3480/3624/3625/3716/3720/7994/3845/5594/5595/4211/3175/5080/10336/5290/5295/8503/5978/55183/6498/4088/4089/6774/6929/6932/7471/7482/7473/54361/7474/7475/7476/7477/7483/7484/463/7547/652/2264/5604/7703/5293/56916/648/658/3572/3717/3718/9314/3977/5291/5296/5894/4087/4093/3670",81
